Ortholog group	Number of genomes	Example accession	Description	Red_Sea_only
pelag11485	8	Pelagibacter_AAA795-N08_00168	Glutamate synthase [NADPH] large chain	
pelag11486	8	AAA280B11_00486	3-hydroxyisobutyrate dehydrogenase	
pelag11487	8	HIMB140_01186	dTDP-glucose 4,6-dehydratase	
pelag11488	8	AAA288G21_00323	hypothetical protein	
pelag11489	8	AAA280B11_00642	hypothetical protein	
pelag11490	8	AAA280P20_00560	hypothetical protein	
pelag11491	8	AAA280P20_00562	Arginine transport ATP-binding protein ArtM	
pelag11492	8	AAA288G21_00328	hypothetical protein	
pelag11493	8	AAA288G21_00497	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	
pelag11494	8	HTCC1062_00449	hypothetical protein	
pelag11495	8	AAA288G21_00539	hypothetical protein	
pelag11496	8	AAA288G21_00821	hypothetical protein	
pelag11497	8	Pelagibacter_AAA795-B16_00218	D-beta-hydroxybutyrate dehydrogenase	
pelag11498	8	AAA288G21_00867	hypothetical protein	
pelag11499	8	IMCC9063_00209	hypothetical protein	
pelag11500	8	AAA288G21_00924	Uric acid degradation bifunctional protein	
pelag11501	8	AAA288N07_00485	Succinyl-CoA ligase [ADP-forming] subunit beta	
pelag11502	8	AAA288N07_00486	Succinyl-CoA ligase [ADP-forming] subunit alpha	
pelag11503	8	AAA288N07_00884	Carbamoyl-phosphate synthase small chain	
pelag11504	8	HIMB114_00630	Putative anti-sigma factor antagonist	
pelag11505	8	HIMB058_00018	Group 1 truncated hemoglobin GlbN	
pelag11506	8	HIMB058_00349	Soluble aldose sugar dehydrogenase YliI	
pelag11507	8	HIMB058_00568	hypothetical protein	
pelag11508	8	HIMB083_00288	hypothetical protein	
pelag11509	8	HIMB083_00368	putative sugar-binding periplasmic protein	
pelag11510	8	HIMB083_00380	hypothetical protein	
pelag11511	8	HIMB083_00381	hypothetical protein	
pelag11512	8	HIMB083_00382	2-dehydropantoate 2-reductase	
pelag11513	8	HIMB083_00384	1-deoxypentalenic acid 11-beta-hydroxylase	
pelag11514	8	HIMB083_00621	hypothetical protein	
pelag11515	8	HIMB083_00696	hypothetical protein	
pelag11516	8	HIMB083_00940	Fluoroacetate dehalogenase	
pelag11517	8	HIMB083_01185	hypothetical protein	
pelag11518	8	HIMB083_01211	Stage V sporulation protein K	
pelag11519	8	HIMB083_01212	hypothetical protein	
pelag11520	8	HIMB083_01213	hypothetical protein	
pelag11521	8	HIMB083_01217	hypothetical protein	
pelag11522	8	HIMB083_01218	hypothetical protein	
pelag11523	8	HIMB083_01284	hypothetical protein	
pelag11524	8	HIMB083_01305	hypothetical protein	
pelag11525	8	HIMB114_00986	hypothetical protein	
pelag11526	8	HIMB114_01110	Inner membrane protein YhaH	
pelag11527	8	HIMB122_00280	GDP-mannose 4,6-dehydratase	
pelag11528	8	HIMB122_00681	Kanamycin B dioxygenase	
pelag11529	8	HIMB1321_00293	hypothetical protein	
pelag11530	8	HIMB1321_00740	hypothetical protein	
pelag11531	8	HIMB140_00368	hypothetical protein	
pelag11532	8	HIMB4_00014	Demethyldecarbamoylnovobiocin O-methyltransferase	
pelag11533	8	HIMB5_00398	hypothetical protein	
pelag11534	8	HTCC1002_00864	hypothetical protein	
pelag11535	8	HTCC7211_00722	hypothetical protein	
pelag11536	8	HTCC7211_00852	Glucosyl-3-phosphoglycerate synthase	
pelag11537	8	HTCC7211_00853	Glucosyl-3-phosphoglycerate/mannosyl-3-phosphoglycerate phosphatase	
pelag11538	7	AAA024N17_00023	GTPase Der	
pelag11539	7	AAA024N17_00027	Alanine racemase, biosynthetic	
pelag11540	7	AAA024N17_00115	hypothetical protein	
pelag11541	7	AAA024N17_00226	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase	
pelag11542	7	Pelagibacter_AAA795-N08_00555	Glucose-1-phosphate cytidylyltransferase	
pelag11543	7	HIMB140_01210	Imidazole glycerol phosphate synthase subunit HisH 1	
pelag11544	7	AAA280B11_00069	Acetyl-CoA:oxalate CoA-transferase	
pelag11545	7	AAA280B11_00072	hypothetical protein	
pelag11546	7	AAA280B11_00170	Thiosulfate sulfurtransferase GlpE	
pelag11547	7	AAA280B11_00277	Leucine-responsive regulatory protein	
pelag11548	7	AAA280B11_00378	o-succinylbenzoate synthase	
pelag11549	7	AAA280B11_00438	hypothetical protein	
pelag11550	7	AAA280B11_00506	ATP-dependent Clp protease ATP-binding subunit ClpA	
pelag11551	7	AAA280B11_00649	hypothetical protein	
pelag11552	7	AAA280B11_00653	hypothetical protein	
pelag11553	7	AAA280P20_00387	hypothetical protein	
pelag11554	7	AAA280P20_00388	hypothetical protein	
pelag11555	7	Pelagibacter_AAA795-D22_00887	Glutamine transport ATP-binding protein GlnQ	
pelag11556	7	Pelagibacter_AAA797-I19_00452	hypothetical protein	
pelag11557	7	AAA288G21_00288	3-aminobutyryl-CoA aminotransferase	
pelag11558	7	HTCC7211_00025	Nucleoside triphosphatase NudI	
pelag11559	7	AAA288G21_00469	Cyclic pyranopterin monophosphate synthase	
pelag11560	7	Pelagibacter_AAA795-F16_00790	hypothetical protein	
pelag11561	7	AAA288G21_00713	hypothetical protein	
pelag11562	7	AAA288G21_00839	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	
pelag11563	7	Pelagibacter_AAA795-J21_00316	Glycogen synthase	
pelag11564	7	AAA288N07_00877	Tyrosine-protein kinase ptk	
pelag11565	7	Pelagibacter_AAA795-P11_00302	Trehalose transport system permease protein SugB	
pelag11566	7	HIMB140_01412	Inner membrane ABC transporter permease protein YcjO	
pelag11567	7	HTCC8051_01015	(R)-phenoxypropionate/alpha-ketoglutarate-dioxygenase	
pelag11568	7	HIMB058_00245	hypothetical protein	
pelag11569	7	HIMB058_00450	hypothetical protein	
pelag11570	7	Pelagibacter_AAA795-E07_00449	Inner membrane ABC transporter permease protein YcjP	
pelag11571	7	HIMB140_00567	Inner membrane amino-acid ABC transporter permease protein YecS	
pelag11572	7	HIMB058_00950	hypothetical protein	
pelag11573	7	HTCC9022_00644	hypothetical protein	
pelag11574	7	HIMB083_00195	hypothetical protein	
pelag11575	7	HIMB083_00561	3-keto-5-aminohexanoate cleavage enzyme	
pelag11576	7	HIMB083_00587	hypothetical protein	
pelag11577	7	HIMB083_01208	HTH-type transcriptional regulator CatM	
pelag11578	7	HIMB083_01219	hypothetical protein	
pelag11579	7	HIMB083_01343	1,5-anhydro-D-fructose reductase	
pelag11580	7	HIMB114_00210	HTH-type transcriptional regulator KipR	
pelag11581	7	HTCC7214_01288	Fimbrial protein	
pelag11582	7	HIMB122_00432	hypothetical protein	
pelag11583	7	HIMB122_00886	hypothetical protein	
pelag11584	7	HIMB122_00996	L-arabinose transport system permease protein AraP	
pelag11585	7	HIMB122_00997	putative ABC transporter-binding protein	
pelag11586	7	HIMB122_01164	Multidrug resistance protein MdtA	
pelag11587	7	HIMB122_01209	hypothetical protein	
pelag11588	7	HIMB122_01367	Leucine efflux protein	
pelag11589	7	HIMB1321_00782	hypothetical protein	
pelag11590	7	HIMB1321_00928	hypothetical protein	
pelag11591	7	HIMB140_00568	L-cystine transport system permease protein TcyB	
pelag11592	7	HIMB140_00569	Cystine-binding periplasmic protein	
pelag11593	7	HIMB4_00347	putative adenylyl-sulfate kinase	
pelag11594	7	HTCC1002_00137	hypothetical protein	
pelag11595	7	HTCC1002_00233	Protein SlyX	
pelag11596	7	HTCC7211_00851	Sucrose phosphorylase	
pelag11597	7	HTCC7211_01333	L-malyl-CoA/beta-methylmalyl-CoA lyase	
pelag11598	6	HIMB5_00980	hypothetical protein	
pelag11599	6	HTCC1002_01087	Fimbrial protein	
pelag11600	6	HTCC9565_01018	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase	
pelag11601	6	Pelagibacter_AAA795-E22_00535	putative oxidoreductase	
pelag11602	6	Pelagibacter_AAA795-M18_00062	hypothetical protein	
pelag11603	6	Pelagibacter_AAA795-M18_00684	(S)-mandelate dehydrogenase	
pelag11604	6	AAA024N17_00075	Ribosomal large subunit pseudouridine synthase B	
pelag11605	6	AAA024N17_00091	Maf-like protein YhdE	
pelag11606	6	AAA024N17_00133	Citrate synthase	
pelag11607	6	HTCC7211_00796	Acylamidase	
pelag11608	6	AAA024N17_00242	tRNA(Ile)-lysidine synthase	
pelag11609	6	HIMB1321_00750	2,3-diketo-L-gulonate-binding periplasmic protein YiaO	
pelag11610	6	AAA280B11_00108	Phosphoserine aminotransferase	
pelag11611	6	HIMB083_00462	hypothetical protein	
pelag11612	6	AAA280B11_00155	Dual-specificity RNA methyltransferase RlmN	
pelag11613	6	HTCC8051_00520	Riboflavin transporter	
pelag11614	6	AAA280B11_00227	5-aminolevulinate synthase	
pelag11615	6	AAA280B11_00230	DNA topoisomerase 4 subunit A	
pelag11616	6	AAA280B11_00257	DNA recombination protein RmuC	
pelag11617	6	AAA280B11_00398	hypothetical protein	
pelag11618	6	AAA280B11_00452	Inner membrane protein YohK	
pelag11619	6	AAA280B11_00505	ATP-dependent Clp protease adapter protein ClpS	
pelag11620	6	AAA280B11_00523	Quercetin 2,3-dioxygenase	
pelag11621	6	AAA280B11_00552	O-succinylhomoserine sulfhydrylase	
pelag11622	6	HTCC1040_00420	Undecaprenyl-phosphate mannosyltransferase	
pelag11623	6	AAA280B11_00616	hypothetical protein	
pelag11624	6	AAA280B11_00647	UDP-galactopyranose mutase	
pelag11625	6	AAA280B11_00650	Bifunctional protein GlmU	
pelag11626	6	AAA280B11_00699	Cell division protein FtsQ	
pelag11627	6	AAA280P20_00109	hypothetical protein	
pelag11628	6	AAA280P20_00368	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase	
pelag11629	6	AAA280P20_00622	Cell division protein FtsL	
pelag11630	6	AAA280P20_00782	hypothetical protein	
pelag11631	6	AAA288G21_00108	hypothetical protein	
pelag11632	6	Pelagibacter_AAA795-A08_00293	Ribose import ATP-binding protein RbsA	
pelag11633	6	Pelagibacter_AAA795-E22_00650	Decarboxylase NovR	
pelag11634	6	HIMB114_01348	Putative 2-aminoethylphosphonate transport system permease protein PhnU	
pelag11635	6	HIMB4_01001	hypothetical protein	
pelag11636	6	AAA288N07_00651	S-adenosyl-L-methionine-dependent 2-deoxy-scyllo-inosamine dehydrogenase	
pelag11637	6	AAA288G21_00473	C-factor	
pelag11638	6	AAA288G21_00554	hypothetical protein	
pelag11639	6	Pelagibacter_AAA795-F16_00374	scyllo-inositol 2-dehydrogenase (NADP(+))	
pelag11640	6	HIMB1321_01353	NAD-dependent methanol dehydrogenase	
pelag11641	6	Pelagibacter_AAA795-J21_00524	Xanthine phosphoribosyltransferase	
pelag11642	6	AAA288G21_00842	Putative N-acetylmannosaminyltransferase	
pelag11643	6	AAA288G21_00936	hypothetical protein	
pelag11644	6	AAA288G21_00985	SPBc2 prophage-derived glycosyltransferase SunS	
pelag11645	6	Pelagibacter_AAA795-L23_00325	Homocysteine S-methyltransferase	
pelag11646	6	AAA288N07_00450	hypothetical protein	
pelag11647	6	AAA288N07_00764	CDP-paratose 2-epimerase	
pelag11648	6	AAA288N07_00797	Ethanolamine utilization protein EutQ	
pelag11649	6	AAA288N07_01032	hypothetical protein	
pelag11650	6	HIMB1321_00748	Sialic acid TRAP transporter permease protein SiaT	
pelag11651	6	HIMB058_00579	hypothetical protein	
pelag11652	6	HIMB058_00724	Glycerophosphoryl diester phosphodiesterase	
pelag11653	6	HIMB058_01135	Phosphoribosylglycinamide formyltransferase	
pelag11654	6	HIMB083_00011	Phosphoserine phosphatase RsbU	
pelag11655	6	HIMB083_00136	Protease PrsW	
pelag11656	6	HIMB083_00197	Phosphate-import permease protein PhnE	
pelag11657	6	HIMB083_00198	Phosphate-import ATP-binding protein PhnC	
pelag11658	6	HIMB083_00199	Phosphate-import protein PhnD	
pelag11659	6	HIMB083_00394	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK	
pelag11660	6	HIMB083_00554	hypothetical protein	
pelag11661	6	HIMB083_00564	hypothetical protein	
pelag11662	6	HIMB5_00461	Glutathione transport system permease protein GsiC	
pelag11663	6	HIMB5_00462	Heme-binding protein A	
pelag11664	6	HIMB083_01081	Purine-binding protein	
pelag11665	6	HIMB083_01082	hypothetical protein	
pelag11666	6	HIMB083_01083	Inner membrane ABC transporter permease protein YtfT	
pelag11667	6	HIMB083_01085	tRNA-specific adenosine deaminase	
pelag11668	6	HIMB083_01087	Uric acid transporter UacT	
pelag11669	6	HIMB083_01221	hypothetical protein	
pelag11670	6	HIMB083_01231	hypothetical protein	
pelag11671	6	HIMB083_01275	hypothetical protein	
pelag11672	6	HIMB083_01341	hypothetical protein	
pelag11673	6	HIMB083_01342	putative oxidoreductase YdgJ	
pelag11674	6	HIMB083_01436	Ribosomal-protein-serine acetyltransferase	
pelag11675	6	HIMB114_00319	Acetate operon repressor	
pelag11676	6	HIMB114_00985	hypothetical protein	
pelag11677	6	HIMB114_01005	hypothetical protein	
pelag11678	6	HIMB114_01347	Phosphoglycerate transport regulatory protein PgtC	
pelag11679	6	HIMB122_00660	Putative polysaccharide biosynthesis protein with aminopeptidase-like domain protein	
pelag11680	6	HIMB122_00824	Sulfoacetaldehyde acetyltransferase	
pelag11681	6	HIMB122_00889	hypothetical protein	
pelag11682	6	HIMB122_00981	hypothetical protein	
pelag11683	6	HIMB122_00999	hypothetical protein	
pelag11684	6	HIMB122_01494	Ribose import ATP-binding protein RbsA	
pelag11685	6	HIMB1321_00195	hypothetical protein	
pelag11686	6	HIMB1321_00762	hypothetical protein	
pelag11687	6	HIMB1321_00763	hypothetical protein	
pelag11688	6	HIMB1321_00786	hypothetical protein	
pelag11689	6	Pelagibacter_AAA795-L23_00179	Bifunctional protein GlmU	
pelag11690	6	HIMB1321_01357	hypothetical protein	
pelag11691	6	HIMB4_00181	hypothetical protein	
pelag11692	6	HIMB4_00454	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC	
pelag11693	6	HIMB4_00592	hypothetical protein	
pelag11694	6	HIMB5_00855	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad	
pelag11695	6	HIMB5_01222	hypothetical protein	
pelag11696	6	HTCC1002_01121	hypothetical protein	
pelag11697	6	HTCC1002_01162	hypothetical protein	
pelag11698	6	HTCC7211_01436	Invasin	
pelag11699	6	HTCC7211_00573	Alginate lyase	
pelag11700	6	HTCC7211_00810	hypothetical protein	
pelag11701	6	HTCC7211_01564	hypothetical protein	
pelag11702	5	AAA288N07_00644	hypothetical protein	
pelag11703	5	HIMB122_00710	hypothetical protein	
pelag11704	5	HTCC9022_01435	hypothetical protein	
pelag11705	5	IMCC9063_00227	hypothetical protein	
pelag11706	5	AAA024N17_00020	hypothetical protein	
pelag11707	5	HIMB5_00903	2-(hydroxymethyl)glutarate dehydrogenase	
pelag11708	5	Pelagibacter_AAA795-M18_00064	Lactate-binding periplasmic protein	
pelag11709	5	AAA024N17_00063	hypothetical protein	
pelag11710	5	Pelagibacter_AAA795-J21_00678	Pyridoxal 4-dehydrogenase	
pelag11711	5	AAA024N17_00106	L-aspartate oxidase	
pelag11712	5	AAA024N17_00112	hypothetical protein	
pelag11713	5	AAA024N17_00162	Cysteine desulfurase IscS	
pelag11714	5	Pelagibacter_AAA795-O19_00386	Putative glycosyltransferase EpsH	
pelag11715	5	AAA024N17_00197	hypothetical protein	
pelag11716	5	AAA280B11_00643	dTDP-4-dehydrorhamnose reductase	
pelag11717	5	AAA024N17_00287	Superoxide dismutase [Fe]	
pelag11718	5	AAA024N17_00302	Polyphosphate kinase	
pelag11719	5	AAA024N17_00329	Exodeoxyribonuclease 7 large subunit	
pelag11720	5	AAA024N17_00357	Ribosomal RNA large subunit methyltransferase H	
pelag11721	5	AAA280B11_00106	Phosphoserine phosphatase	
pelag11722	5	AAA280B11_00112	hypothetical protein	
pelag11723	5	AAA280B11_00150	hypothetical protein	
pelag11724	5	AAA280B11_00151	hypothetical protein	
pelag11725	5	AAA280B11_00161	hypothetical protein	
pelag11726	5	AAA280B11_00229	p-hydroxyphenylacetate 3-hydroxylase, reductase component	
pelag11727	5	AAA280B11_00272	hypothetical protein	
pelag11728	5	AAA280B11_00283	CTP pyrophosphohydrolase	
pelag11729	5	AAA280B11_00284	N-ethylmaleimide reductase	
pelag11730	5	AAA280B11_00286	hypothetical protein	
pelag11731	5	AAA280B11_00307	LPS-assembly lipoprotein LptE	
pelag11732	5	AAA280B11_00332	hypothetical protein	
pelag11733	5	QL1_01271	Antilisterial bacteriocin subtilosin biosynthesis protein AlbA	
pelag11734	5	AAA280B11_00416	hypothetical protein	
pelag11735	5	AAA280B11_00445	D-alanine aminotransferase	
pelag11736	5	AAA280B11_00453	Holin-like protein CidA	
pelag11737	5	AAA280B11_00527	hypothetical protein	
pelag11738	5	AAA280B11_00551	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	
pelag11739	5	HIMB122_00998	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	
pelag11740	5	AAA280B11_00556	hypothetical protein	
pelag11741	5	AAA280B11_00615	hypothetical protein	
pelag11742	5	AAA280B11_00636	tRNA pseudouridine synthase B	
pelag11743	5	HIMB4_00670	GDP-6-deoxy-D-talose 4-dehydrogenase	
pelag11744	5	AAA280B11_00748	GTPase Era	
pelag11745	5	AAA280P20_00114	DNA gyrase subunit B	
pelag11746	5	HIMB4_01399	Sialic acid TRAP transporter permease protein SiaT	
pelag11747	5	AAA280P20_00134	O-antigen biosynthesis glycosyltransferase WbnK	
pelag11748	5	Pelagibacter_AAA795-M18_01045	Glycine betaine transport ATP-binding protein OpuAA	
pelag11749	5	AAA280P20_00355	hypothetical protein	
pelag11750	5	Pelagibacter_AAA795-M18_01044	Riboflavin transporter	
pelag11751	5	AAA280P20_00558	Rhomboid protease GluP	
pelag11752	5	HTCC1002_01126	hypothetical protein	
pelag11753	5	Pelagibacter_AAA795-M18_00442	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM	
pelag11754	5	HIMB114_01001	2,3-dimethylmalate lyase	
pelag11755	5	IMCC9063_00867	hypothetical protein	
pelag11756	5	AAA288G21_00376	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase	
pelag11757	5	AAA288G21_00501	Poly-beta-1,6-N-acetyl-D-glucosamine synthase	
pelag11758	5	AAA288G21_00527	hypothetical protein	
pelag11759	5	Pelagibacter_AAA795-E22_00565	hypothetical protein	
pelag11760	5	AAA288G21_00684	hypothetical protein	
pelag11761	5	AAA288G21_00714	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	
pelag11762	5	Pelagibacter_AAA795-L23_00331	NAD-dependent methanol dehydrogenase	
pelag11763	5	HIMB4_00083	Inositol 2-dehydrogenase	
pelag11764	5	AAA288G21_00837	FAD-dependent decaprenylphosphoryl-beta-D-ribofuranose 2-oxidase	
pelag11765	5	AAA288G21_00937	hypothetical protein	
pelag11766	5	AAA288N07_00071	hypothetical protein	
pelag11767	5	AAA288N07_00402	hypothetical protein	
pelag11768	5	Pelagibacter_AAA795-D22_00347	CMP-N,N'-diacetyllegionaminic acid synthase	True
pelag11769	5	AAA288N07_00711	hypothetical protein	
pelag11770	5	AAA288N07_00760	Fructose dehydrogenase large subunit	
pelag11771	5	AAA288N07_00817	Polysialic acid transport protein KpsD	
pelag11772	5	AAA288N07_00822	hypothetical protein	
pelag11773	5	AAA288N07_00965	hypothetical protein	
pelag11774	5	Pelagibacter_AAA795-L23_00334	Glycine betaine transport system permease protein OpuAB	
pelag11775	5	HIMB058_00010	hypothetical protein	
pelag11776	5	HIMB058_00044	Pyruvate kinase	
pelag11777	5	HIMB058_00081	D-beta-hydroxybutyrate dehydrogenase	
pelag11778	5	HTCC1040_00676	hypothetical protein	
pelag11779	5	HIMB058_00247	DNA recombination protein RmuC	
pelag11780	5	HIMB058_00328	Glycine betaine-binding periplasmic protein	
pelag11781	5	HTCC7211_00789	hypothetical protein	
pelag11782	5	HIMB058_00439	8-demethyl-8-(2-methoxy-alpha-L-rhamnosyl)-tetracenomycin-C 3'-O-methyltransferase	
pelag11783	5	HIMB058_00726	L-arabinose transport system permease protein AraQ	
pelag11784	5	HIMB058_00974	Ribosomal RNA small subunit methyltransferase A	
pelag11785	5	HIMB058_00979	hypothetical protein	
pelag11786	5	Pelagibacter_AAA795-M22_00432	hypothetical protein	
pelag11787	5	HIMB083_00988	Sialic acid TRAP transporter permease protein SiaT	
pelag11788	5	HIMB083_01223	hypothetical protein	
pelag11789	5	HIMB083_01462	hypothetical protein	
pelag11790	5	HIMB083_01474	hypothetical protein	
pelag11791	5	HIMB114_00196	TVP38/TMEM64 family inner membrane protein YdjZ	
pelag11792	5	HIMB114_00984	2-phospho-L-lactate guanylyltransferase	
pelag11793	5	HIMB114_01002	Sialic acid TRAP transporter permease protein SiaT	
pelag11794	5	HIMB114_01004	C4-dicarboxylate-binding periplasmic protein	
pelag11795	5	HIMB122_00435	Tyrosine recombinase XerC	
pelag11796	5	HTCC1002_00363	Alpha-monoglucosyldiacylglycerol synthase	
pelag11797	5	HIMB122_00994	Phosphorylated carbohydrates phosphatase	
pelag11798	5	HIMB122_01000	hypothetical protein	
